Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolate,Isolation_source,lat_lon,Library_ID,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Strain
SRR14119455,AMPLICON,392,99252502,PRJNA718451,SAMN18533930,Pathogen.cl,54603948,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489836,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008136,Oropharyngeal swab,missing,K008136,K008136,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008136,SRP312925,SARS-CoV-2
SRR14119456,AMPLICON,279,117216868,PRJNA718451,SAMN18533929,Pathogen.cl,64602439,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489835,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008135,Oropharyngeal swab,missing,K008135,K008135,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008135,SRP312925,SARS-CoV-2
SRR14119457,AMPLICON,371,103261272,PRJNA718451,SAMN18533928,Pathogen.cl,58756001,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489834,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008134,Oropharyngeal swab,missing,K008134,K008134,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008134,SRP312925,SARS-CoV-2
SRR14119458,AMPLICON,348,105473667,PRJNA718451,SAMN18533927,Pathogen.cl,57938887,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489833,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008133,Oropharyngeal swab,missing,K008133,K008133,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008133,SRP312925,SARS-CoV-2
SRR14119459,AMPLICON,315,114609325,PRJNA718451,SAMN18533926,Pathogen.cl,64456837,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489832,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008132,Oropharyngeal swab,missing,K008132,K008132,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008132,SRP312925,SARS-CoV-2
SRR14119460,AMPLICON,390,113534515,PRJNA718451,SAMN18533962,Pathogen.cl,60856338,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489831,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008173,Oropharyngeal swab,missing,K008173,K008173,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008173,SRP312925,SARS-CoV-2
SRR14119461,AMPLICON,298,108866947,PRJNA718451,SAMN18533961,Pathogen.cl,62160646,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-17,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489830,Mozambique,Africa,Mozambique: Maputo province,COVID-19,Homo sapiens,Illumina MiSeq,K008172,Oropharyngeal swab,missing,K008172,K008172,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008172,SRP312925,SARS-CoV-2
SRR14119462,AMPLICON,291,109303498,PRJNA718451,SAMN18533925,Pathogen.cl,62383889,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489829,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008131,Oropharyngeal swab,missing,K008131,K008131,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008131,SRP312925,SARS-CoV-2
SRR14119463,AMPLICON,322,105319068,PRJNA718451,SAMN18533960,Pathogen.cl,61044021,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489828,Mozambique,Africa,Mozambique: Maputo province,COVID-19,Homo sapiens,Illumina MiSeq,K008171,Oropharyngeal swab,missing,K008171,K008171,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008171,SRP312925,SARS-CoV-2
SRR14119464,AMPLICON,262,110652919,PRJNA718451,SAMN18533959,Pathogen.cl,63046040,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,National Health Laboratory service,2021-01-14,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489827,Mozambique,Africa,Mozambique: Maputo City,COVID-19,Homo sapiens,Illumina MiSeq,K008170,Oropharyngeal swab,missing,K008170,K008170,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008170,SRP312925,SARS-CoV-2
